feature,horizon,n_top,n_bot,mean_top,mean_bot,spread,t,p,set,test_spread,test_t,same_sign,fdr_pass,survivor
f_tick_intensity,4,10123,9188,0.012078214211260357,0.0047606699219682235,0.007317544289292133,0.32382882272192876,0.7460712773472866,train,-0.10157690018052967,-0.9555807983821949,False,False,False
f_dir_eff6,48,2487,2591,0.020332413847757014,0.07178079521546103,-0.05144838136770402,-0.31873190287908093,0.7499429439543422,train,0.20496317998739533,0.40203550802870264,False,False,False
f_run_signed,16,5035,6899,0.031242623227518786,0.01280495827590039,0.018437664951618395,0.3154495383470118,0.75242647705529,train,0.0791356491029398,0.3536016190170806,True,False,False
f_vol_of_vol,4,7403,7831,0.011884449806695818,0.005849456308968467,0.0060349934977273504,0.25256315558741926,0.8006094681559481,train,-0.003253358790399591,-0.02084142955424092,False,False,False
f_wick_skew,48,2648,2638,0.09154405883084556,0.051594626027425025,0.03994943280342053,0.25170381615727133,0.8012798205513565,train,0.0267855501132388,0.04887176209435059,True,False,False
f_close_loc,48,2659,2658,0.06991277252492573,0.10009707341419245,-0.030184300889266727,-0.1880385110456768,0.8508536412312567,train,0.053332180416873376,0.11879194111792715,False,False,False
f_ext_ema50,48,1535,1582,0.1413164853641908,0.17740184833399286,-0.036085362969802054,-0.1655252379456205,0.868541365370313,train,0.6174957440875465,1.172309595243475,False,False,False
f_vol_of_vol,16,2468,2760,0.04601634279926122,0.060109592639429395,-0.014093249840168173,-0.16261572593939072,0.8708279075033972,train,0.21191895706127406,0.5446766577275417,False,False,False
f_dir_eff6,16,5857,6493,0.00827489698763996,0.002789540949225135,0.0054853560384148245,0.09750202105105492,0.9223293357230492,train,-0.07900387282374116,-0.36857245610237716,False,False,False
f_range_z,16,5066,4784,-0.013962270886276553,-0.007609074016413968,-0.006353196869862585,-0.09743696155586187,0.9223814124581462,train,-0.16982089185119398,-0.6629926764878683,True,False,False
f_spread_stress,16,4057,4415,0.05951067167385322,0.053216690710983186,0.006293980962870031,0.09087242890523747,0.9275961532669447,train,0.2944598015421829,0.6701276128808131,True,False,False
f_efficiency,48,2653,2644,0.05828571168528893,0.04456082288173776,0.013724888803551168,0.0863066878894797,0.9312258855500252,train,0.05640154286390542,0.09401394608023324,True,False,False
f_dir_eff24,48,2017,2344,0.13389840640557749,0.11915321009871362,0.01474519630686387,0.08289174322320973,0.9339415820623506,train,0.16096448094732208,0.36642950844616,True,False,False
f_wick_skew,16,6888,6870,0.01655541484722209,0.013050829775805508,0.0035045850714165803,0.06552508135966278,0.9477568897388847,train,-0.10560443549162629,-0.6799194655819548,False,False,False
f_range_z,4,12916,12280,0.008603826436039025,0.007605469813534209,0.0009983566225048156,0.052023204824334285,0.9585106363086572,train,-0.07304762566758445,-0.6493333485961098,False,False,False
f_efficiency,4,17171,17182,0.0034423350440503787,0.002634614797822939,0.0008077202462274395,0.049493465653598676,0.960526332244656,train,0.05827831806554273,0.9388275852078974,True,False,False
f_vol_of_vol,48,1224,1565,0.08078817855926576,0.07129209987639293,0.009496078682872833,0.04177075990435871,0.9666847560790783,train,0.15859164897846512,0.1922786524383195,True,False,False
f_range_z,48,2151,2075,0.0005683179367401186,-0.00042775908231991493,0.0009960770190600334,0.005598536861472285,0.9955333081560748,train,-0.4278039003021289,-0.7168223810288664,False,False,False
f_spread_stress,48,1820,1911,0.12733107501714008,0.12770689651367273,-0.00037582149653264674,-0.0020032091565439837,0.9984017792982655,train,0.3954239251949334,0.5055888006810165,False,False,False
