feature,horizon,n_top,n_bot,mean_top,mean_bot,spread,t,p,set,test_spread,test_t,same_sign,fdr_pass,survivor
f_vol_of_vol,16,201,232,-0.02188254134426643,-0.08015268208192115,0.05827014073765473,0.19001350987922958,0.8493913922620373,train,-0.6465493533657005,-0.9289554262052472,False,False,False
f_spread_per_range,48,208,211,-0.06289763376707326,0.021210784800787922,-0.08410841856786118,-0.16794476090477536,0.8667085317985244,train,0.5300147242097508,0.28165071312399936,False,False,False
f_range_z,4,1094,1120,0.01918126324569255,0.029872359664806083,-0.010691096419113533,-0.15782257578422845,0.8746126672543503,train,-0.0759857292750459,-0.36534592101192664,True,False,False
f_run_signed,48,192,222,0.13134094331701485,0.0656141030535653,0.06572684026344955,0.1330013569019395,0.8942574670722442,train,-0.5983035035500968,-0.32898015478759335,False,False,False
f_ext_ema50,4,703,702,-0.003430842693124294,0.006186789019356637,-0.00961763171248093,-0.11406223929661273,0.9092049287063184,train,0.26667979893478433,1.0808380411564351,False,False,False
f_atr_ratio,16,311,284,0.07849761610155748,0.10791913359029537,-0.02942151748873789,-0.11400167105074878,0.9092825760949931,train,-0.5625799204953907,-0.4665214681748231,True,False,False
f_vol_of_vol,48,100,123,-0.16192406262100054,-0.08397108445028603,-0.0779529781707145,-0.11023989121989952,0.9123251639697767,train,-0.1655285784306184,-0.18735410892416415,True,False,False
f_tick_intensity,48,205,212,0.16749878756145972,0.11395351001127146,0.05354527755018826,0.10418047038484676,0.9170764806108278,train,-0.6138911556125897,-0.3764014515414646,False,False,False
f_impulse,4,968,1020,-0.00558358226807668,0.0002597055529405335,-0.005843287821017213,-0.08237846445830073,0.9343568947159403,train,-0.16085891062662513,-1.0110365929447995,True,False,False
f_tick_intensity,16,493,496,0.03683281851101016,0.051736055770087566,-0.014903237259077405,-0.08148449636881884,0.935074019226433,train,0.06640080467154785,0.09342133463607334,False,False,False
f_tick_intensity,4,858,981,0.01627611356581774,0.010635753464899336,0.005640360100918406,0.07516305400292848,0.9400963696450472,train,-0.37994914327538265,-1.5698387352329748,False,False,False
f_close_loc,48,220,222,0.11199728296631031,0.1489908324115972,-0.03699354944528688,-0.07008766875595393,0.9441557301748686,train,-0.29342303994653385,-0.17475882120162442,True,False,False
f_spread_stress,4,698,775,0.02399901513824948,0.028491067170594835,-0.004492052032345355,-0.06306261634452143,0.9497255002161599,train,0.27002168235976215,0.9869719078727136,False,False,False
f_ext_ema50,48,119,128,0.13503080595944175,0.09202680642704754,0.04300399953239421,0.062414826145208095,0.9502848532345982,train,1.3818910301223817,0.7440761261765312,True,False,False
f_absorption,48,211,211,0.0705418413917248,0.09936042081474021,-0.02881857942301541,-0.0578807323603452,0.9538712689130705,train,-1.5038701525827436,-1.0141578549059524,True,False,False
f_rsi,48,144,153,0.37878189987786065,0.36529184150200367,0.013490058375856984,0.021900676438042294,0.9825420672610172,train,1.1690120898387388,0.7386597600145866,True,False,False
